2022-02-21 08:54:25.656,17,1493,0,0
2022-02-21 08:54:25.696,458,0,0,
2022-02-21 08:54:25.741,450,0,0,
2022-02-21 08:54:25.787,441,1,0,
2022-02-21 08:54:25.832,430,3,0,
2022-02-21 08:54:25.877,409,7,0,
2022-02-21 08:54:25.922,402,12,0,
2022-02-21 08:54:25.966,393,20,0,
2022-02-21 08:54:26.012,390,28,0,
2022-02-21 08:54:26.057,397,39,0,
2022-02-21 08:54:26.102,340,49,0,
2022-02-21 08:54:26.147,344,60,0,
2022-02-21 08:54:26.191,371,70,0,
2022-02-21 08:54:26.237,388,78,0,
2022-02-21 08:54:26.281,360,84,0,
2022-02-21 08:54:26.327,382,89,0,
2022-02-21 08:54:26.373,379,91,0,
2022-02-21 08:54:26.417,361,91,0,
2022-02-21 08:54:26.458,368,90,0,
2022-02-21 08:54:26.503,371,88,0,
2022-02-21 08:54:26.548,363,85,0,
2022-02-21 08:54:26.593,368,82,0,
2022-02-21 08:54:26.638,375,79,0,
2022-02-21 08:54:26.684,363,77,0,
2022-02-21 08:54:26.728,361,75,0,
2022-02-21 08:54:26.774,365,73,0,
2022-02-21 08:54:26.818,354,73,0,
2022-02-21 08:54:26.864,359,73,0,
2022-02-21 08:54:26.909,362,73,0,
2022-02-21 08:54:26.954,368,74,0,
2022-02-21 08:54:26.999,370,75,0,
2022-02-21 08:54:27.044,374,77,0,
2022-02-21 08:54:27.089,370,77,0,
2022-02-21 08:54:27.134,371,78,0,
2022-02-21 08:54:27.179,376,79,0,
2022-02-21 08:54:27.224,366,80,0,
2022-02-21 08:54:27.270,357,80,0,
2022-02-21 08:54:27.314,355,80,0,
2022-02-21 08:54:27.359,369,80,0,
2022-02-21 08:54:27.405,379,80,0,
2022-02-21 08:54:27.450,361,79,0,
2022-02-21 08:54:27.494,366,79,0,
2022-02-21 08:54:27.540,369,79,0,
2022-02-21 08:54:27.585,381,79,0,
2022-02-21 08:54:27.629,371,79,0,
2022-02-21 08:54:27.675,364,78,0,
2022-02-21 08:54:27.720,368,78,0,
2022-02-21 08:54:27.760,362,79,0,
2022-02-21 08:54:27.806,371,78,0,
2022-02-21 08:54:27.850,362,78,0,
2022-02-21 08:54:27.896,369,78,0,
2022-02-21 08:54:27.941,373,78,0,
2022-02-21 08:54:27.986,387,78,0,
